count,item_1,item_2,lift,item_1_count,item_2_count
5,Chocolate Shake (Milkshake),Coffee Brownie Shake (Milkshake),0.6154170997920997,624,148
10,Blackcurrant Shake (Milkshake),Blue Curacao,0.6186324451410659,319,576
7,Blue Curacao,Chocolate Brownie Shake (Milkshake),0.6194646860986547,576,223
8,Cad-b,Choco-Chip Brownie Shake (Milkshake),0.6234471410942,429,340
7,Chocolate Strawberry Shake (Milkshake),Cold Coffee,0.6248154662813707,52,2449
6,Cad-b,Nutella Brownie Shake (Milkshake),0.630869130869131,429,252
6,Kulfi Shake (Milkshake),Waffles,0.6424756252649428,63,1685
8,Kitkat Shake,Mango Shake (Milkshake),0.6481862958237403,239,587
8,Blue Curacao,Kitkat Shake,0.6605648535564854,576,239
5,Oreo Brownie Shake (Thickshake),Waffles,0.6613719671844998,51,1685
5,Nutella Waffles,Waffles,0.6613719671844998,51,1685
6,Cad-b,Kitkat Shake,0.6651841881967405,429,239
8,Strawberry Banana Shake (Milkshake),Strawberry Shake (Milkshake),0.6654421718927226,151,905
5,Belgium Dark Chocolate Brownie Shake (Milkshake),Choco-Chip Brownie Shake (Milkshake),0.6713323883770376,249,340
7,Strawberry Shake (Thickshake),Waffles,0.6745994065281898,70,1685
14,Chocolate Shake (Milkshake),Wonder Vanilla Shake (Milkshake),0.6746794871794871,624,378
12,Chocolate Brownie Shake (Milkshake),Strawberry Shake (Milkshake),0.6758863315412631,223,905
11,Oreo Brownie Shake (Milkshake),Strawberry Shake (Milkshake),0.6772668183295418,204,905
22,Chocolate Shake (Milkshake),Mango Shake (Milkshake),0.6827250687983226,624,587
9,Choco-Chip Brownie Shake (Milkshake),Oreo Shake (Milkshake),0.6838435828877006,340,440
6,Choco-Chip Brownie Shake (Milkshake),Hazelnut Shake (Milkshake),0.6846215619353544,340,293
24,Oreo Shake (Milkshake),Strawberry Shake (Milkshake),0.6851029633350076,440,905
6,Classic Lemonade,Kitkat Shake,0.694316342424335,411,239
9,Belgium Dark Chocolate Shake (Milkshake),Classic Lemonade,0.6991921594357419,356,411
7,Belgium Dark Chocolate Shake (Milkshake),Blackcurrant Shake (Milkshake),0.7006533760698812,356,319
5,Dry Fruit Shake (Milkshake),Kitkat Shake,0.7056479147784412,337,239
5,Blackcurrant Shake (Milkshake),Nutella Brownie Shake (Milkshake),0.7070085087326466,319,252
8,Choco-Chip Brownie Shake (Milkshake),Wonder Vanilla Shake (Milkshake),0.7075630252100841,340,378
9,Caramel Shake (Milkshake),Strawberry Shake (Milkshake),0.7109559053476493,159,905
7,Nutella Brownie Shake (Milkshake),Oreo Shake (Milkshake),0.7176136363636364,252,440
6,Blackcurrant Shake (Milkshake),Hazelnut Shake (Milkshake),0.7296906929718511,319,293
14,Kitkat Shake,Strawberry Shake (Milkshake),0.7357451628562842,239,905
10,Blue Curacao,Choco Oreo Shake (Milkshake),0.7391151685393258,576,267
7,Belgium Dark Chocolate Brownie Shake (Milkshake),Cad-b,0.7448816243996966,249,429
6,Belgium Dark Chocolate Brownie Shake (Milkshake),Belgium Dark Chocolate Shake (Milkshake),0.7693921754433464,249,356
10,Cold Coffee,Hazelnut Shake (Thickshake),0.773581053491221,2449,60
8,Blue Curacao,Oreo Brownie Shake (Milkshake),0.7738970588235294,576,204
10,Banana Shake (Milkshake),Strawberry Shake (Milkshake),0.7753222836095764,162,905
37,Mango Shake (Milkshake),Strawberry Shake (Milkshake),0.7917004715427259,587,905
6,Choco-Chip Brownie Shake (Milkshake),Nutella Brownie Shake (Milkshake),0.7960084033613447,340,252
5,Banana Shake (Milkshake),Oreo Shake (Milkshake),0.797348484848485,162,440
5,Blackcurrant Shake (Milkshake),Chocolate Brownie Shake (Milkshake),0.7989513192853227,319,223
6,Blue Curacao,Coffee Brownie Shake (Milkshake),0.8000422297297298,576,148
6,Dry Fruit Shake (Milkshake),Nutella Brownie Shake (Milkshake),0.8030945315811785,337,252
12,Oreo Shake (Milkshake),Wonder Vanilla Shake (Milkshake),0.8201298701298703,440,378
6,Choco-Chip Brownie Shake (Milkshake),Kitkat Shake,0.8393059315776521,340,239
8,Chilli Pineapple,Cold Coffee,0.8439066038086046,44,2449
9,Belgium Dark Chocolate Shake (Milkshake),Choco-Chip Brownie Shake (Milkshake),0.8451999339061468,356,340
9,Mango Shake (Milkshake),Oreo Brownie Shake (Milkshake),0.8543190700470988,587,204
7,Coffee Shake (Thickshake),Waffles,0.8585810628540599,55,1685
21,Chocolate Shake (Milkshake),Oreo Shake (Milkshake),0.869416520979021,624,440
6,Cold Coffee,Mocha Coffee,0.8702786851776235,2449,32
6,Choco Oreo Shake (Milkshake),Hazelnut Shake (Milkshake),0.8718027380450205,267,293
5,Blackcurrant Shake (Milkshake),Oreo Brownie Shake (Milkshake),0.8733634519638577,319,204
7,Belgium Dark Chocolate Shake (Milkshake),Nutella Brownie Shake (Milkshake),0.886938202247191,356,252
