count,item_1,item_2,lift
1,Coffee Brownie Shake (Thickshake),Cookest N Cream Shake (Thickshake),21.986460348162474
1,Choco Oreo Shake (Milkshake),Classic Waffles,21.286516853932586
3,Oreo Shake (Thickshake),Strawberry Banana Shake (Thickshake),21.1544665012407
1,Blackcurrent Shake (Milkshake),Choco Chip Brownie (Milkshake),21.05
1,Blue Curacao Cooler,Strawberry Banana Shake (Thickshake),20.81868131868132
1,Brownie Nuts Shake (Milkshake),Mango (Milkshake),20.667272727272728
1,Kulfi Nuts Shake (Thickshake),Peanut Butter Banana Shake (Milkshake),20.667272727272728
2,Mango (Milkshake),Oreo Brownie Shake (Thickshake),20.262032085561497
1,Mango Shake (Milkshake),Peanut Butter Banana (Thickshake),19.36456558773424
1,Chocolate Strawberry Shake (Thickshake),Cold Coffee Cooler,19.201013513513512
1,Nutella Brownie Shake (Thickshake),Peanut Butter Banana Shake (Thickshake),19.136363636363633
1,Chilli Guava Cooler,Kulfi Nuts Shake (Thickshake),18.945
1,Fruit-A-List Shake (Milkshake),Peanut Butter Shake (Milkshake),18.850746268656717
2,Choco Chip Brownie (Milkshake),Waffle,18.711111111111112
4,Blackcurrent Shake (Milkshake),Kulfi Nuts Shake (Milkshake),18.573529411764707
1,Blackcurrant Shake (Thickshake),Chocolate Strawberry Shake (Thickshake),18.216346153846153
1,Chilli Guava Cooler,Pan Shake (Milkshake),18.216346153846153
3,Kulfi Shake (Thickshake),Nutella Brownie Shake (Thickshake),18.129186602870814
1,Belgium Dark Chocolate Shake (Thickshake),Peanut Butter Banana Shake (Thickshake),18.04285714285714
1,Caramel Shake (Milkshake),Choco-Chip Banana (Thickshake),17.87264150943396
1,Caramel Shake (Milkshake),Lichi,17.87264150943396
1,Blackcurrant Shake (Milkshake),Coffee Brownie (Thickshake),17.816614420062695
1,Blackcurrent Shake (Milkshake),Chilli Pineapple Cooler,17.541666666666668
1,Kulfi Nuts Shake (Thickshake),Strawberry Banana Shake (Thickshake),17.487692307692306
3,Belgium Dark Chocolate Shake (Thickshake),Kulfi Shake (Thickshake),17.093233082706767
1,Cold Coffee Cooler,Strawberry Crunch Shake (Milkshake),17.06756756756757
2,Brownie Nuts Shake (Milkshake),Cookest N Cream Shake (Milkshake),16.84
1,Choco-Chip Brownie Shake (Milkshake),Ice Cream,16.716176470588238
1,Choco-Chip Brownie Shake (Milkshake),Strawberry Banana (Thickshake),16.716176470588238
1,Kulfi Shake (Thickshake),Wonder Vanilla Shake (Thickshake),16.61842105263158
1,Choco Oreo Shake (Thickshake),Chocolate Strawberry Shake (Thickshake),16.521802325581394
2,Waffle,Waffle Special Offer,16.509803921568626
1,Choco Chip Brownie (Thickshake),Nutella Brownie Shake (Thickshake),16.4025974025974
1,Choco-A-List Shake (Thickshake),Nutella Brownie Shake (Thickshake),16.4025974025974
1,Nutella Brownie Shake (Thickshake),Oreo 'Go' Nuts Shake (Thickshake),16.4025974025974
1,Cookest N Cream Shake (Milkshake),Watermelon,16.192307692307693
1,Ice Crush Coffee,Nutella Waffles,15.920168067226891
1,Coffee Shake (Milkshake),Kitkat Shake (Milkshake),15.787499999999998
1,Coffee Shake (Milkshake),Snickers Shake (Thickshake),15.787499999999998
1,Coffee Shake (Milkshake),Oreo Brownie (Milkshake),15.787499999999998
